VALUE,CLASSNAME,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue
3068,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,2068,Sh North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Shrub,601,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 108: Alpine Idaho Fescue,Shrub-dominated,Dwarf-shrubland,Mixed evergreen-deciduous dwarf-shrubland,181,156,114,0.709804,0.611765,0.447059
3165,Northern Rocky Mountain Foothill Conifer Wooded Steppe,2165,Tr Northern Rocky Mountain Foothill Conifer Wooded Steppe,Tree,614,Conifer,Douglas-fir Forest and Woodland,SRM 109: Ponderosa Pine-Shrubland,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,55,146,173,0.215686,0.572549,0.678431
3268,Eastern Great Plains Tallgrass Aspen Shrubland,2331,Tr Eastern Great Plains Tallgrass Aspen Parkland,Shrub,602,Shrubland,"Aspen Forest, Woodland, and Parkland",SRM 16: Aspen,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,192,255,138,0.752941,1,0.541176
3331,Eastern Great Plains Tallgrass Aspen Forest and Woodland,2331,Tr Eastern Great Plains Tallgrass Aspen Parkland,Tree,602,Hardwood,"Aspen Forest, Woodland, and Parkland",SRM 16: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,192,255,138,0.752941,1,0.541176
3112,California Central Valley Mixed Oak Savanna,2112,Tr California Central Valley Mixed Oak Savanna,Tree,629,Hardwood,Western Oak Woodland and Savanna,SRM 201: Blue Oak Woodland,Tree-dominated,Sparse tree canopy,Deciduous sparse tree canopy,138,227,212,0.541176,0.890196,0.831373
3151,California Central Valley Riparian Forest and Woodland,2151,Tr California Central Valley Riparian Woodland and Shrubland,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy,81,180,141,0.317647,0.705882,0.552941
3152,California Montane Riparian Systems,2152,Tr California Montane Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,81,180,141,0.317647,0.705882,0.552941
3155,North American Warm Desert Riparian Forest and Woodland,2155,Tr North American Warm Desert Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy,81,180,141,0.317647,0.705882,0.552941
3257,California Central Valley Riparian Herbaceous,2151,Tr California Central Valley Riparian Woodland and Shrubland,Herb,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Perennial graminoid grassland,81,180,141,0.317647,0.705882,0.552941
3258,North American Warm Desert Riparian Herbaceous,2155,Tr North American Warm Desert Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,81,180,141,0.317647,0.705882,0.552941
